Dangaladima,7.429504,10.6093

Danhadau,6.65,10.88

Galadima,8.1000,10.9954
 
Birnin Gwari,6.5383,10.6613
 
Goron Dutse,8.4911,12.0041

Kwaga,6.6251,10.7085

Mando,6.6070,10.7559

Dogo Dawa,7.429504,10.6093

Bugai,6.4726,10.7270

Dagara,6.4207,10.7147

Gayam,6.8994,10. 7909

Kajuru,7.6833,10.3243

Kamfanin Doko,7.0000,10.7300

Layin Maigwari,7.0000,10.7300

Muya,7.1211,10.7480

Rumanan Hause,6.65514,10.85117

Gauji,7.42950,10.609319

Kakangi,6.209,10.7094

Kubau,8.1229,10.7724

Takama,7.0576,11.0346

Nasarawa,7.3976,10.4746

Ungwan Madaki,8.0556,11.2649

Raku,7.09,11.13

Dunya,6.9835,11.1323

Kuyello,6.88,11.21

Kwadaga,6.7874,11.2655

Shado,6.9455,11.1914

Yankan Dutse,6.655,10.851

Rafin Dodo,8.2941,10.7757

Maganda,8.2683,10.6740

Ijinga, 6.2165,10.5594

Karauchi,6.1999,10.6333

Kimbi,6.1905,10.6607

Kunun Gayya, 6.2395,10.5211

Randagi,6.1951,10.5142

Old Saulawa,6.65,10.88

Saulawa,8.1229,11.3334

Sofa,7.4300,10.5269

Dokan Ruwa, 6.92,11.32

Kamfanin,6.6371,10.7910

Mamman,7.4400,10.4987

Layin Lassan,6.65514,10.85117

Tabanni,7.0108,11.3149

Narayi,7.4496,10.4686

Maraban Rido,7.5266,10.4308

Bagado,7.4272,10.4619

Sabon-Tasha,7.4652,10.4368

Sabon-Yelwa,7.6107,10.8688

Tsaunin Kura, 7.4383,10.4457

Kujama,7.6358,10.4802

Ungwan Sunday,7.4476,10.4525

Chikun, 7.1101,10.2697

Giwa, 7.4179,11.2802

Danmahawayi, 7.5572,11.2809

Kuringa,7.5823,11.2964

Ungwan Madara,7.4843,11.3133

Maje,7.6351,10.639

Makwaye, 7.5948,11.1959

Panhauya,7.6213,11.1209

Mahuta,7.7929,11.2921

Gadan-Gayan,7.7509,10.712

Girk7.8295,10.5155

Gwaraji,7.7287,10.5562

Jaji,7.5613,10.8273

Kabam,8.2395,9.8157

Kangimi,7.6000,10.7333

Kurmin Kaduna, 7.0653,10.3168


Kwarau, 7.5464,10.6863


Labaran,7.3970,10.4949

Maraban Jos,7.5077,10.6941

Rigachikun,7.4706,10.6321

Rihogi,7.5809,10.6260

Rubu, 7.5025,10.6994

Afaka,7.3877,10.6664

Dunki,7.5474,10.9509

Kwate,7.03020,10.5365

Rigasa;7.3866,10.5286

Tudun Wada,8.4047,11.2497 

Auchan,8.0189,11.4119 

Chara; 

Dan-Lawal,8.1795,11.2146

Furana,8.2097,11.2741

Ikara,8.2268,11.1788

Janfalan

Jibis,8.2521,11.1606

Kankanki,8.1728,11.1768

Kurmin Jau

Kurmin Kogi,8.0845,11.1948

Kwari,8.1267,11.3646

Malilanchi; 

Pala; 

Saya-Saya,8.3636,11.2143

Allah-Gaba,8.0283,11.4430

Baulawa;

Buchan; 

Bunji; 

Kakau,7.3999,10.3833

Kuya,8.1011,11.4241

Kwari,8.1267,11.3646

Paki,8.1543,11.5001

Rinji; 

Ungwan Romi,7.4188,10.43829

Vauran; 

Yalwa Deji; 

Yauran,7.9882,11.4622

Ankung

Sambam

Bitaro,7.9654,9.4843

Dura Bitaro,7.9702,9.4435

Kwoi,8.0041,9.4671

Kyan

Sabchem,8.0083,9.4372

Sabzuro,7.9974,9.4705

Chori,8.0378,9.5368

Daddu,8.1120,9.5616

Nok,8.0204,9.4903

Sabon Gari,7.6765,11.1766

U.Galadima,8.1000,10.9954

Amere,8.2291,9.4437

Garti,8.2660,9.4272

Ung. Fulani,8.0087,11.0524

Ung. Jaba

Gidan Alkali,7.4260,9.9382

Dakaci

Jeh

Shok I,7.4476,10.4665

Ubandoma 

Ungwa Fari,

Ungwa Pakachi,

Baraki,

Doka,7.4293,10.5430 

Garwa,

Gongola,7.18333,10.0667

Kyau,

Nbiatut,

Tasha,8.2242,9.320747

Tum,8.3766,9.7064

Ungwa Pah 

Azar,8.2242,9.3207

Jema’a,8.2213,9.3607
 
Gatai,8.2242,9.3207

Hagbon,8.2242,9.3207

Injebi,8.2850,9.2865

Mabin,

Ngaada,

Ramindop,

Urkura,

Bornanken,8.2242,9.3207

Kaso,7.6158,10.3400

Nadyry,

S.Gari Wunti,

Sallabe,

Wunti,

Antang,

Baiya,

Dogon Filin,

Gidan Waya,8.4294,9.4328

Hayi Gada,

Kiban,8.3948,9.3302

Nisama,8.4808,9.4873

Pasa Kwari,8.2850,9,2856

Tafan Gidan,8.4646,9.5973

Ung. Mada Nisamo,8.4013,9.4554

Ung. Ali Nungu,8.1669,9.1946

Idu Ungwan Anjo,

Akwa,8.2722,9.2400

Kiban,8.3948,9.3302

Kampani,

Ninte Gada Biyu,

Ninte Madaki,

Ninte Sarki,

Ninte Andaha,

Fari Hawa,8.3279,9.4012

Godo-Godo,8.3307,9.4241

Golkofa,8.3616,9.4104

Manteh,8.3500,9.4333

Zankan Kwano,8.3500,9.4333

Zankan Sarki,8.3500,9.4333

Nindem kogo,

Arusuwa,

Bakut,7.4165,10.5105

Banaje,

Dalle,8.2249,9.4062

Marmara,8.1111,10.8464

Marwa,7.8431,11.0004

Ung. Pah,8.4098,9.2293

Ung. Kagoma,

Araga,6.5075,10.6411

Dangwa,8.2850,9.2856

Dogon Awo,8.0503,11.4308

Fafinta,

Jagindi Tasha,9.3381,8.2431
 
Janda,

Kogum Dutse,8.2000,9.28367

Kogum Gindin Dutse,8.2242,9.3207

Kogum Tasha,

Koho,8.2850,9.2856

Tsakiya,8.2850,9.2856

Madaki,7.2715,10.7187

Mile one,9.3381,8.2431

Pah Kogum,8.2850,9.2856

Rafin Dadi,9.3207,8.2242

Ug. Patake,9.3207,8.2242

Ung. Magaji,9.4642,8.4209

Ung. Mangoro, 8.4833,8.5333

Ung. Ninzam Tasha,8.2431,9.3382

Ung. Ninzam Kogum,8.2431,9.3382

Fadan Kagoma ‘B’,8..2242,9.3207

Kara,7.4310,10.5223

Kpadam/Gigira,8.1000,9.3666

Manyii,8.1338,10.1589

Sonje,8.2242,9.3207

Takau,8.2596,9.5526

Unguwar Baki,8.2943,9.5560

Zikpak,8.1338,10.1589

Atuku,8.4441,9.4796

Ankwa,7.7634,9.9236

Awon,7.7417,9.7690

Bishini,7.3301,9.6232

Doka,7.4293,10.5430

Kachia,7.9552,9.8734

Kurmin Mazuga,8.0486,9.8788

Sabon Sarki,8.0240,9.4616

Akote,7.7220,9.5035

Chakwama,7.3645,9.4354

Dogon Kurmin,

Iddah,7.3301,9.4023

Janjala,7.6813,9.5472

Jere,7.4354,9.5684

Kagarko,7.6955,9.4910

Kaguni,8.1338,10.1589

Katuga,7.5800,9.4700

Kenyi, 

Kubacha,7.8096,9.4444

Kurmin Dangana,7.9011,9.5978

Kushe,7. 7199,9.3940

Shadalafya, 

Kajuru,7. 6833,10.3243

Kufana,7.7566,10.2947

Biniki

Bondong,8.5611,9.7163

Fada,8.0274,9.4560

Dada Ciki Gari, 

Fadan Attakar, 8.4646,9.5973

Fadan Takad

Garaji

Gizagwai,8.1338,10.1589

Kadarko,8.4349,9.6366

Kajim

Kara,7.4310,10.5223

Kpak,8.4129,9.6813

Kukum Daji,8.3581,9.6053

Kukum Gida,8.3581,9.6053

Malagum (Zali),8.3855,9.6765

Manchok,8.5089,9.6721

Matuak,

Mifi,8. 4600,9.6200

Tafan,8. 3890,9.5020

Tsonjei,8.1338,10.1589

Zankan,8.5406,9.5911

Chawai,8.5912,10.0199

Geshere,8.3746,10.1307

Kauru,8.1488,10.5748

Anchau,8. 3938

Kubau,8. 1571,10.8009
Doka,7.4293,0.5430

Hunkuyi,7.6480,11.2659

Kauran Waki,8.5030,9.6306

Kudan,7.7634,11.2643

Likoro,7.8178,11.1841

Garu,7.9811,10.8545

Kadaru,8.5600,10. 3400

Lere,8.5735,10.3853

Makarfi,7.8803,11.3766

Basawa,7. 6819,11.1708

Babban Titi,7.6800,11.1800

Sabon Gari (Rural),7.6800,11.1800

Daurawa,8.0024,11.7260

Samaru,7.6385,11.1607

Kogun

Sarki Hausawa,8.4098,9.2293

Sarki Zangin, 

Dakachi Fulani

Tudun Wada,8.4047,11.2497

Gidan Maikeri,7.3833,10.1833

Gongoro Gida,

Ung. Sarki Jangwai,8.6200,9.4000

Amar,8.5333,9.1166

Dakaci Makeri Landa,8.4500,9.2400

Sarki Landa Gbasar,8.4500,9.2400

Kontogora,8.5182,9.1063

Ungwa Maikwara,8.4098,9.2290

Ambel,

Ung. Adamu Makama,8. 4100,9.2293

Ungwa Sule Aboro, 

Ancha Sarki,8.4308,9.1732

Dakachi Dodo,8.4500,9.2400

Madaki Godo,8.4500,9.2400

Ayu,8.6147,9.2950

Ung. Maichibi

Ung. Yakubu

Bokana

Sarki Yoruba

Ungwa Adu Duwaru

Fadan Karshi

Tsoho Gar

Ung. Gwandara

Fadan Ninzo

Iyah Gbara

Dakachi-Amubimaji

Jarami

Gunkok

Andun

Ung. Makama

Gwantu

Sanga Haruna

Ung. Ningon

Hatteh

Amugbonche

Sarki Amugbonche

Wambai

Kwassu
